img_id;marker_type;intensity;folder_name;pose;rvec;tvec;n_valid;corners;ids;rvec_est;tvec_est
1p_2;160.0;110.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;43.86500000000001,22.620000000000005,40.74;1;2314.7434,1703.1675,2345.6052,1528.6519,2484.9536,1507.6713,2451.687,1675.2374;5.0;;
1p_2;160.0;110.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;43.86500000000001,22.620000000000005,40.74;1;2300.6758,1697.602,2330.9329,1524.1532,2483.408,1511.7952,2449.6052,1681.6865;5.0;;
1p_2;160.0;110.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;43.86500000000001,22.620000000000005,40.74;1;2289.1587,1690.7084,2316.8083,1519.5706,2479.084,1515.8326,2444.8694,1688.1913;5.0;;
1p_2;160.0;110.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;43.86500000000001,22.620000000000005,40.74;1;2281.003,1683.7188,2307.1028,1514.3641,2471.8003,1519.4679,2437.4763,1694.3993;5.0;;
1p_2;160.0;110.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;43.86500000000001,22.620000000000005,40.74;1;2275.493,1676.5197,2300.378,1508.7401,2462.1765,1523.0645,2427.789,1699.3762;5.0;;
1p_2;160.0;110.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;43.86500000000001,22.620000000000005,40.74;1;2273.2964,1669.2562,2296.8152,1503.6741,2449.7817,1525.6912,2415.8354,1703.5338;5.0;;
1p_2;160.0;110.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;43.86500000000001,22.620000000000005,40.74;1;2274.1182,1661.7823,2296.4595,1498.4172,2435.5276,1527.2898,2401.8694,1706.979;5.0;;
1p_2;210.0;110.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;43.86500000000001,72.62,40.74;0;;;;
1p_2;210.0;110.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;43.86500000000001,72.62,40.74;1;2129.3635,2159.8813,2165.3008,2089.6497,2294.2983,2076.2021,2249.994,2148.7922;5.0;;
1p_2;210.0;110.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;43.86500000000001,72.62,40.74;1;2123.638,2152.263,2158.912,2080.1316,2287.3389,2082.649,2242.298,2156.6543;5.0;;
1p_2;210.0;110.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;43.86500000000001,72.62,40.74;1;2120.4988,2143.8792,2154.287,2070.702,2278.7195,2089.1497,2233.363,2163.2573;5.0;;
1p_2;210.0;110.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;43.86500000000001,72.62,40.74;1;2119.5098,2134.491,2153.5198,2060.75,2267.9495,2094.5571,2223.4531,2168.6035;5.0;;
1p_2;210.0;110.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;43.86500000000001,72.62,40.74;1;2121.2883,2125.0232,2154.5486,2051.6772,2255.7034,2099.4724,2212.0684,2173.033;5.0;;
1p_2;210.0;110.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;43.86500000000001,72.62,40.74;1;2125.0635,2116.4802,2157.8801,2041.5457,2243.3306,2102.5266,2200.015,2175.8623;5.0;;
1p_2;260.0;110.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;43.86500000000001,122.62,40.74;0;;;;
